Pitch Type,Avg Speed,Avg Spin,Avg Horizontal Break,Avg Vertical Break
Cutter,87.4,2501,5.1,-26.6
4-Seam,97.4,2188,-11,-16.5
Slider,86.8,2489,0,-35.8
Changeup,88.2,1949,-16.5,-34.1
Sinker,97.5,2115,-18,-24.6
4-Seam,98.6,2477,-6.9,-11.4
Slider,92.5,2565,3.7,-26.7
Changeup,91.4,1638,-13.5,-28.8
Curveball,84.1,2632,7.2,-42.8
4-Seam,96.6,2457,-6.6,-12.1
Slider,88.2,2525,2.9,-34.2
Changeup,86.7,1817,-15.4,-26.9
Curveball,83.5,2606,4,-49.3
Sinker,96.3,2364,-13.8,-16.1
4-Seam,94.3,2144,-5.9,-20
Slider,86.4,2176,5.2,-34.5
Changeup,86.4,2133,-8.2,-27.7
Curveball,79.3,2312,7.5,-50
4-Seam,89.8,2185,-9.6,-20
Slider,77.5,2584,16.5,-48.1
Changeup,80.8,1707,-15.3,-38.2
Curveball,66.6,2378,12.9,-72.5
Sinker,90,2207,-16.2,-26.4
4-Seam,94,2349,-7.1,-12.5
Slider,84.9,2095,3.5,-34.2
Changeup,80.9,1414,-8.8,-28.9
Curveball,77.3,2493,5,-61.1
4-Seam,92.4,2265,-5.7,-15.8
Slider,83,2479,5.4,-40.3
Changeup,84.4,1652,-14.8,-31.6
Curveball,78.8,2420,6.3,-52.5
Sinker,92.2,2130,-13.9,-19.6
4-Seam,93.3,2160,-7.8,-16.5
Slider,74.5,2250,13.6,-52.1
Changeup,83.6,1971,-17.3,-29.6
Curveball,70,2194,12.2,-71
Sinker,92.6,2117,-15.7,-20.1
Cutter,87.8,2183,1.6,-27.3
4-Seam,92.9,2455,-6.3,-18.7
Slider,85.7,2838,11.2,-37.8
Changeup,87,1929,-13.9,-30.1
Curveball,75,2686,15.3,-55.6
Sinker,92.5,2345,-12,-28.1
Cutter,91,2615,1.1,-27.2
4-Seam,90.2,2238,-3.3,-16.6
Slider,83.2,2306,5.9,-35.7
Changeup,70.7,1421,-8.9,-44.5
Curveball,76.9,2113,3.7,-49.4
Sinker,90.4,2134,-11.9,-18.8
Cutter,87.6,2316,3.7,-23.6
Splitter,84.3,1717,-14,-30.7
4-Seam,94.7,2259,-13.6,-18.3
Curveball,78.6,2886,18.6,-55.5
Sinker,93.9,2102,-18.6,-26.2
Cutter,85.4,2436,4.1,-36.3
Splitter,84.9,2124,-20,-35.5
4-Seam,90.6,2251,7.3,-17.8
Changeup,84.3,1939,13.5,-31.4
Curveball,74.5,2606,-11.5,-55.3
Sinker,89.5,2143,13.7,-26.5
Cutter,87.9,2391,-1.6,-25.1
4-Seam,88.6,2086,-8.1,-27.6
Slider,80.3,2506,9.5,-45.7
Changeup,84,1719,-12.5,-41.2
Curveball,79.3,2572,14.6,-47.4
Sinker,88.3,2023,-11.9,-32.5
Cutter,86.7,2232,1.6,-31.7
4-Seam,93.9,2168,-4.8,-19.2
Slider,87.4,2430,2.3,-34.9
Changeup,88.1,1459,-11.6,-27.1
Curveball,81.9,2196,9.4,-44.5
Sinker,93.5,2134,-12.8,-23.6
4-Seam,92.1,2383,10.2,-17.3
Slider,79.6,2377,-4.2,-46
Changeup,79.1,1956,11.4,-32.3
Curveball,72.2,2247,-14.6,-61.1
Sinker,90.2,2353,14.4,-23.1
Cutter,90.5,2330,0.3,-12.8
4-Seam,94.9,2474,-12.2,-16.7
Slider,85.6,2365,3.2,-36.1
Changeup,84.3,1551,-15.7,-36.3
Curveball,78.5,2719,10.8,-51.3
Cutter,89.8,2441,-0.5,-26.6
4-Seam,92.4,2257,7.1,-14
Slider,84.2,2145,-1.9,-34.7
Curveball,81.6,2045,-1.2,-46.5
Sinker,92.2,2182,13.8,-18.4
4-Seam,93.3,2527,-1.9,-16.1
Slider,84.6,2868,15.9,-43
Changeup,89.7,2047,-12.7,-24.1
Curveball,81.9,2988,15.7,-53.9
Sinker,93.1,2441,-11.7,-21.3
Cutter,89.3,2570,3.1,-25
4-Seam,90.4,2322,-9,-15.3
Slider,85.7,2481,3.2,-28.3
Changeup,84.1,1933,-16.2,-33.2
Curveball,74,2781,10.9,-70.7
Sinker,90.2,2256,-15.5,-20.9
4-Seam,96.4,2170,-13.3,-18.5
Slider,85.9,2330,-0.4,-38.3
Changeup,87.2,1972,-16.8,-34.3
Sinker,96.5,2073,-18.7,-25.7
4-Seam,91.4,2405,9.1,-17.1
Changeup,84.2,1641,13,-29.5
Curveball,78.8,2645,-11.8,-49.6
Sinker,92.2,2400,11.9,-23
Cutter,87.2,2488,-1.1,-28.1
4-Seam,96.5,2456,-4.8,-11.7
Slider,86.8,2867,11.1,-38
Changeup,91.5,1516,-12.9,-26.1
Curveball,80.7,2915,10.3,-59.2
Sinker,96.6,2346,-13.4,-16.2
Cutter,92.8,2713,5.4,-22.7
4-Seam,93.1,2254,-8.3,-13.6
Slider,85,2370,1.4,-34.9
Changeup,87.6,1725,-15.7,-28.4
Curveball,82.7,2303,4,-50.6
Sinker,93.7,2189,-13.7,-19.6
4-Seam,89.4,2028,3.1,-22.9
Slider,81.9,2384,-4.6,-50
Changeup,82.6,1481,14,-34.2
Curveball,75.6,2393,-7.8,-65.4
