Pitch Type,Avg Speed,Avg Spin,Avg Horizontal Break,Avg Vertical Break
4-Seam,93.8,2193,-9.7,-14.2
Slider,88.1,2050,-0.9,-29.4
Changeup,84.9,1495,-14.6,-30.4
Curveball,81.7,2217,5,-48.9
Sinker,93.1,2083,-15.2,-19.7
4-Seam,94.3,2260,-12.9,-15.9
Slider,85.4,2515,1.3,-35.2
Changeup,88.4,1485,-12.4,-32.5
Curveball,83.3,2653,5.7,-42.7
Sinker,93.4,2086,-16.9,-23.3
4-Seam,95.8,2175,-13.1,-15.2
Slider,85,2305,1.7,-29.5
Changeup,88.6,1807,-14.3,-22.9
Sinker,95.5,2149,-16.5,-20.4
Cutter,90.2,1728,-14.5,-26.2
4-Seam,91.4,2274,-8.1,-18
Slider,82.6,2453,2.2,-35.6
Changeup,81.9,1595,-13.9,-30.3
Curveball,73.3,2602,11.2,-55.8
Sinker,91.1,2158,-16.4,-25.2
4-Seam,92.3,2229,-9.4,-16.4
Slider,84.6,2367,3.6,-36.1
Curveball,76.8,2445,8.1,-55.7
Sinker,91.4,2065,-16.4,-23.8
Cutter,89.5,2282,-1.9,-24
Splitter,87.6,1497,-12.8,-33
4-Seam,92.1,2441,-9.6,-15.7
Slider,85.6,2497,2.8,-32.6
Changeup,80.3,1621,-14.8,-34
Curveball,74.7,2858,13.8,-62.6
Sinker,89.7,2321,-16.2,-23.3
4-Seam,94.1,2300,-8.7,-14.4
Slider,88.5,2534,5.5,-30.7
Changeup,87.6,1561,-8,-31.9
Curveball,84.3,2559,10.6,-43.3
Sinker,93.7,2133,-15,-23.3
4-Seam,90.6,2166,-6.3,-24.7
Slider,81,2473,6.9,-45
Changeup,84.5,1770,-15.8,-37.5
Curveball,78.4,2589,13.6,-55.8
Sinker,90.2,2015,-15.7,-29.7
Cutter,88.9,2201,-1.9,-27.5
4-Seam,92.3,2293,6.4,-17.1
Slider,80.9,2359,-6.3,-43.8
Changeup,83.5,1797,10.8,-27.9
Sinker,92.2,2244,12.7,-21
4-Seam,91.1,2045,-4.6,-15.8
Curveball,80.5,2536,4.8,-60.2
Sinker,91.7,2103,-15.2,-18.6
Splitter,85.6,1599,-15,-27.5
4-Seam,94.1,2277,-9.6,-12.9
Slider,84.7,2506,0.8,-39.2
Changeup,86.8,1646,-14.3,-28.4
Curveball,78.6,2547,7.9,-62.4
Sinker,93.6,2263,-15.8,-17.9
Cutter,86.6,2565,4.2,-32.4
4-Seam,92.2,2312,-5.6,-15.8
Slider,87.9,2439,5.7,-29.8
Changeup,87.3,1800,-14.4,-30.9
Curveball,78.8,2705,13.7,-56.4
Sinker,92.2,2259,-14.4,-20.6
4-Seam,93.2,2232,-4.8,-12.1
Slider,84.5,2372,5.3,-31
Changeup,85.8,1516,-11.1,-21.4
Sinker,92.3,2136,-11.3,-16.9
4-Seam,95,2174,-5.6,-15
Slider,86.9,2040,3.6,-28.7
Changeup,85.6,1682,-8.4,-28.3
Curveball,80.6,2671,8,-51.4
Sinker,94.3,2160,-14.3,-19.8
4-Seam,92.7,2372,-6.2,-16
Changeup,85.8,1707,-12.8,-30.8
Curveball,84.4,2589,13.6,-35.2
Sinker,92.5,2225,-14.3,-21.6
Cutter,89,2580,3,-28
4-Seam,90,2247,9.9,-16.7
Changeup,83,1676,13.1,-29.9
Curveball,74.8,2708,-13.1,-63.4
Sinker,89.3,2139,16.5,-23.5
Changeup,79.4,1795,-16.1,-34.5
Curveball,73.4,2603,10.1,-65.2
Sinker,89.7,2103,-16.9,-22.9
Cutter,86.5,2278,0.6,-26.3
4-Seam,97.5,2301,-9.9,-11.4
Slider,88.3,2689,6.3,-36.8
Changeup,87.2,1671,-13.1,-23.5
4-Seam,94.2,2276,8.6,-13.6
Slider,84.6,2094,0.3,-33.8
Curveball,81.7,2037,-2.7,-47.3
Sinker,93.4,2256,15.9,-20.2
4-Seam,93.2,2085,9.9,-16.4
Slider,84.4,2320,-4.3,-35.5
Changeup,84.6,1780,14.6,-29.2
Curveball,79.2,2569,-6.4,-49.4
Sinker,93,2023,16.1,-22.3
4-Seam,93.1,2252,-12.6,-17.4
Changeup,86.4,1965,-16.9,-27.3
Curveball,80.6,2352,1.6,-48.7
Sinker,92.5,2157,-18.4,-24
4-Seam,92.8,2340,0.7,-9.3
Slider,88.6,2470,-3.5,-23.1
Changeup,86,2171,10.9,-15.4
Curveball,73.3,2364,-1,-65.9
Sinker,94.6,2333,12.3,-10.7
4-Seam,93.5,2484,-2.8,-16.5
Slider,85.1,2846,7.2,-43.4
Changeup,89.5,1827,-11.7,-26.2
Curveball,81,2891,14,-53.6
Sinker,92,2092,-12.3,-22.7
Cutter,90.9,2712,4.7,-14.7
4-Seam,83.6,1878,-15.7,-29.1
4-Seam,91.4,2207,-9.9,-17.9
Slider,80,2480,12.9,-41
Changeup,83.3,1503,-14.2,-32.4
Curveball,75.6,2500,11.5,-52.8
Sinker,91.1,2120,-19.9,-24.8
4-Seam,95.5,2249,-6.5,-12.4
Slider,88.8,2546,3.2,-34.9
Changeup,85.9,1766,-14.6,-29.5
4-Seam,94,2312,-12.3,-17.2
Changeup,84,1200,-13.2,-36
Curveball,80.5,2817,7.4,-52
Sinker,93.8,2306,-16.5,-20.5
4-Seam,96.8,2190,-11.8,-13.5
Changeup,86.7,1501,-12.8,-29.4
Curveball,83.6,2626,3.4,-50.6
Sinker,97,2071,-16.4,-17.8
Cutter,92.1,2149,-12.1,-16.7
4-Seam,92.6,2243,-11.7,-14
Slider,84.5,2221,0.7,-31.4
Curveball,76.1,2302,6.3,-53.8
Sinker,91,2029,-15.3,-20.6
Cutter,89.5,2149,-7.5,-20.7
Splitter,87.2,1592,-12.7,-29
4-Seam,89.8,2212,-8.7,-12.1
Slider,83.6,2304,3.1,-30.7
Changeup,82.9,1314,-11.9,-31.1
Curveball,73.2,2411,8.4,-51.1
Sinker,90,2131,-14.8,-16
4-Seam,94.9,2550,-14.8,-13.1
Slider,86.8,2343,-0.6,-30
Changeup,85.8,1517,-17.4,-32.1
Curveball,78.5,2472,4.9,-49.5
Sinker,95.4,2613,-16.1,-11.7
Cutter,90,2462,-5.2,-22.6
4-Seam,92.7,2065,6.2,-13.7
Slider,78.5,2217,-11.7,-44.1
Changeup,86.6,1325,10.9,-24.1
Curveball,78.2,2134,-6.2,-48.7
Sinker,92.6,1999,12.3,-16.1
4-Seam,93.6,2176,10.3,-14.9
Changeup,85,1806,16.5,-27.8
Curveball,79.5,2203,-5.2,-46.1
Sinker,93.4,2117,15.6,-16.8
Cutter,88.6,2084,2.4,-24.2
4-Seam,93.6,2109,10.2,-16.2
Slider,85.6,2276,-2.5,-33.9
Changeup,84.9,1707,13.6,-27.9
Curveball,80.5,2341,-3,-45.9
Sinker,93.1,2033,16.2,-21.7
4-Seam,93.4,2286,12.6,-13.5
Changeup,84.9,1564,15.8,-30.3
Curveball,81.9,2514,-5.5,-50.5
Sinker,93.2,2215,18.3,-17.1
Cutter,90.8,2327,1.9,-18.8
4-Seam,92.4,2270,-8.1,-15.1
Changeup,84.9,1871,-16.2,-27.5
Curveball,78.9,2329,5.7,-49.2
Sinker,92.3,2225,-16.1,-21.4
Cutter,83.9,2190,3.3,-38.2
4-Seam,95.8,2183,-10.2,-12.9
Slider,89.1,2370,1.3,-26.3
Changeup,85.9,1683,-10.8,-23.3
Curveball,78.3,2584,9.6,-50.9
4-Seam,92.3,2230,4.3,-13.9
Slider,84,2142,-2.9,-35.7
Changeup,85.5,1646,11.2,-25
Sinker,92.4,2177,11.3,-15
4-Seam,95.9,2441,-10.3,-11.9
Changeup,88.8,1547,-16.2,-27.4
Curveball,84.3,2381,9.8,-35.8
Sinker,94.2,2277,-16.5,-16.8
4-Seam,94.1,2559,-14.2,-12.4
Slider,88.5,2474,-0.4,-25
Changeup,85.9,2059,-18.7,-28.9
Curveball,79.2,2763,8.3,-54.2
4-Seam,90.8,2185,8.5,-12.9
Slider,76.3,1762,7.1,-48.2
Changeup,80.2,1470,11.7,-28.5
Cutter,85.5,2098,6.7,-25.2
4-Seam,92.7,2118,-5.7,-13
Slider,86,2385,0.2,-31.1
Changeup,84.3,1846,-16.3,-26.9
Curveball,77.8,2733,9.2,-54.3
Sinker,92.7,2072,-14.4,-16.6
4-Seam,94.6,2086,-6.1,-15
Slider,86.1,2004,0.3,-34.6
Changeup,89.1,1896,-14.3,-21.8
Sinker,95.2,2058,-10,-16.5
Cutter,94.4,2041,0,-16.5
4-Seam,90.8,2348,-8.7,-14.2
Slider,82,2375,2.9,-31.7
Changeup,83,1740,-14.8,-27.6
Curveball,73,2524,8.2,-63.3
Sinker,90.2,2205,-14.8,-19.1
4-Seam,92.7,2384,-12.9,-14.8
Slider,86.5,1872,-1.1,-30.7
Changeup,84.5,1887,-15.1,-28
Curveball,77.8,2557,8.3,-58.8
Sinker,93.3,2409,-16.5,-16.7
4-Seam,94.9,2277,10.3,-12.9
Slider,84.8,2152,1.3,-35.3
Changeup,87.2,1918,12.2,-25.7
Sinker,94.4,2268,15.7,-17.2
4-Seam,93.1,2094,8.2,-16.8
Slider,85.9,2231,-1.8,-31.3
Changeup,85.9,1784,14.2,-28.9
Curveball,77.1,2208,-5.8,-46.6
Sinker,93.4,2038,14.6,-20
4-Seam,90.2,2177,-5.5,-16.6
Changeup,80.6,2113,-9.3,-31.1
Curveball,76,2880,11.8,-54.9
Sinker,88.1,1962,-12.9,-24.5
Cutter,88.5,2140,-5,-17.1
4-Seam,91.8,2427,-2.9,-20.1
Slider,80.1,2320,10.2,-41.5
Changeup,85.6,1702,-12.8,-30.3
Sinker,93.3,2265,-14.1,-20.5
Cutter,88.4,2399,2.8,-26.4
Changeup,79.1,1742,-16.3,-34.5
Curveball,72.8,2544,8.5,-65.7
Sinker,89.9,2070,-15.7,-20.4
Cutter,86,2278,-0.9,-26.8
4-Seam,91.2,2303,6.3,-14.6
Slider,87.3,2307,-1.5,-25
Changeup,84.2,1720,12.1,-26.5
Curveball,75.2,2368,-11,-56.1
Sinker,91.6,2303,10.8,-15.8
Cutter,86.6,2374,2.5,-22.7
4-Seam,94.9,2190,-5.2,-12.5
Slider,88.9,2315,5.3,-34
Changeup,87.4,1810,-11.9,-28.7
4-Seam,83.8,2268,-4.1,-21.6
Slider,77,2401,5.8,-44
Changeup,74.9,1851,-12.9,-35
Curveball,69.4,2483,9.4,-60.6
Sinker,82.8,2117,-11.8,-25.5
4-Seam,94.7,2450,-12.4,-16.7
Slider,86.8,2382,-1.5,-29.6
Changeup,89.5,1753,-17.7,-20.1
Curveball,80.8,2397,3.7,-46.5
Sinker,94.9,2413,-17.9,-20.2
Cutter,92.8,2499,-4.5,-17.7
Splitter,86.1,1586,-13.5,-27.4
4-Seam,93.3,2267,-11.3,-17.1
Slider,87.3,2174,-4.9,-26.8
Changeup,86.8,2006,-14.4,-25.4
Curveball,80.5,2294,3.6,-47.8
Sinker,93.1,2147,-16.5,-21
4-Seam,91,2099,-8.3,-15.7
Slider,81.7,2133,2.1,-43.3
Curveball,73.6,2576,13.1,-64.3
Sinker,90.9,1986,-15.8,-23.7
Splitter,80,1386,-10.5,-39.2
4-Seam,90.8,2202,-7.8,-18
Changeup,84.1,1650,-12.5,-33.3
Curveball,72.9,2619,14.6,-64.9
Sinker,91.1,2170,-12.8,-19.5
Cutter,87.3,2522,2.8,-27.6
4-Seam,92.5,2102,-8.9,-14.1
Slider,86.1,2196,2.3,-31
Changeup,85.2,1614,-14.2,-28.6
Curveball,79.2,2464,6.3,-58.6
Sinker,92.8,2038,-14,-17.8
4-Seam,92.6,2083,8.5,-15.8
Changeup,84.7,1623,14.3,-29
Curveball,79.8,2141,-4.4,-52.9
Sinker,93.2,2090,14.6,-18.7
Cutter,89.2,2025,1.5,-25
4-Seam,88.6,2402,-4.9,-11.9
Changeup,77.5,2142,-11.1,-26.5
Curveball,76.6,2689,6.4,-60.6
Cutter,87.7,2433,0.8,-16.8
4-Seam,95.5,2234,5.5,-11.4
Slider,96.5,2394,4.3,-9.2
Changeup,85.8,2512,14.6,-24.7
Curveball,84.1,2312,-6.5,-41.9
Sinker,95.2,2183,11.4,-13.7
4-Seam,82.9,1889,-14.8,-30
4-Seam,93.4,2250,-6.4,-12.6
Slider,84.1,2081,5.5,-32.5
Changeup,85.6,1456,-10.4,-22.1
Sinker,91.2,2021,-12.7,-19.2
4-Seam,92.2,2447,-8.7,-14.6
Slider,85.5,2460,2.6,-30.4
Changeup,81.4,1688,-13.1,-31.5
Curveball,74.2,2800,13.5,-63.7
Sinker,90.1,2365,-15,-21.6
4-Seam,92.7,2301,7.3,-14.8
Changeup,85.4,1750,13.1,-30
Curveball,75.1,2529,-10.7,-54.7
Sinker,91.7,2066,12.7,-22.5
Cutter,89,2386,-1.9,-24.6
4-Seam,91.6,2252,10.7,-15.3
Changeup,84.4,1707,13.3,-29.2
Curveball,77.7,2842,-10.8,-58.3
Sinker,91.3,2188,15.4,-20.5
4-Seam,90.1,2188,-2.5,-15
Slider,82,2294,7,-38.3
Changeup,83.1,1765,-11.4,-32.7
Curveball,74.4,2667,9.6,-69.4
Cutter,86.9,2324,5.4,-23.8
4-Seam,91.6,2237,-10.5,-14.1
Slider,82.5,2141,1.1,-33.9
Changeup,84.6,1806,-13.9,-22.7
Curveball,75.5,2563,5.5,-59.2
Sinker,91.5,2149,-15.5,-19.3
4-Seam,92.7,2316,-11.2,-13.5
Slider,84.2,2286,1.1,-31.3
Changeup,83.3,1573,-12.6,-33.6
Curveball,75,2083,1.3,-49.1
Sinker,92,2221,-15.4,-17.8
Cutter,88,2299,-4,-23.2
4-Seam,90.4,2264,-8.6,-17
Slider,82.4,2286,0.3,-35.6
Changeup,81.4,1684,-14.6,-32
Sinker,87.6,2100,-16.6,-26.7
4-Seam,90.8,2192,-6.5,-17.3
Changeup,83.3,1583,-13.7,-31.9
Curveball,74.4,2657,13.6,-63.4
Sinker,91.1,2153,-15.1,-21.4
Cutter,85.9,2348,2.2,-29.3
4-Seam,93.3,2341,-6.5,-19.8
Slider,85.3,2615,7.2,-42.2
Changeup,85.1,1449,-13,-28.6
Curveball,80.8,2708,13.4,-47.4
Sinker,93,2250,-11.6,-26.8
Cutter,89.9,2456,2.3,-31.4
4-Seam,91.1,2289,-8,-14.9
Changeup,84.3,1765,-14.4,-27.4
Curveball,77.6,2531,6.8,-52
Sinker,91,2204,-13.6,-17.7
Cutter,86.8,2332,3.6,-27.9
4-Seam,95.2,2278,-10.9,-13.6
Changeup,88.8,2051,-18.2,-26.2
Curveball,78.6,2844,11.5,-60.2
Sinker,95.4,2267,-16.7,-17.6
4-Seam,91.9,2268,-5.1,-12.9
Slider,83,2140,7.7,-35.6
Curveball,71.8,2338,10.8,-67.9
Sinker,92.5,2255,-10.1,-13.7
Cutter,87.1,2205,4.1,-22.4
Splitter,85.3,1514,-9.8,-27.3
4-Seam,97.1,2129,-11.4,-14.9
Changeup,87.6,2009,-17,-32.8
Curveball,85.4,2146,7.2,-38.7
Sinker,95.7,2046,-17.6,-22.7
4-Seam,92.4,2379,10,-15.1
Slider,85.6,2233,-1.6,-30.6
Changeup,84.4,1934,14.3,-23.8
Curveball,79,2175,-2.8,-48.7
Sinker,91.5,2228,15.7,-24.5
4-Seam,92.6,2213,-9.6,-13.9
Slider,85.7,2378,2.6,-34.9
Changeup,85.4,1692,-15.6,-27.9
Curveball,77.5,2229,8.2,-55.8
Sinker,92.8,2179,-15.5,-17.7
4-Seam,88.4,2424,-5.2,-18.9
Changeup,83.9,1735,-11.2,-27.3
Curveball,75.6,2753,5.8,-61.9
Sinker,88.5,2329,-11,-21.4
Cutter,85.9,2618,3.7,-24.6
4-Seam,92.3,2301,-7.9,-11.5
Slider,86.2,2285,4.1,-30.3
Changeup,84.3,1651,-10.6,-22
Curveball,75.8,2107,4.9,-62.7
Cutter,91.9,2333,0.1,-12.9
4-Seam,98.6,2202,-5.9,-10.1
Slider,91.5,2071,2.8,-27.3
Changeup,90.3,1765,-15,-22.4
Curveball,83,2217,6.2,-42.1
Sinker,98.5,2154,-12.4,-12.1
Slider,79.1,2251,-10.4,-49.6
Changeup,86.8,2137,18.8,-29.5
Sinker,93.7,2235,16.9,-20.3
4-Seam,94.2,2243,8.2,-14.4
Slider,87.2,2316,-6.4,-31.3
Changeup,84.1,1610,14.4,-32.5
Sinker,93.8,2108,13.6,-17.8
4-Seam,91.8,2467,7.4,-14.4
Changeup,87,2299,11.1,-20.7
Curveball,79.7,2160,-5,-61.4
Cutter,86.3,2388,0,-29.2
4-Seam,92.9,2442,-5.2,-14.9
Slider,89.4,2640,3.2,-26
Changeup,85.8,1673,-11.6,-28.8
Curveball,83.9,2599,15.1,-37.6
Sinker,93.1,2243,-13.7,-19
4-Seam,88.8,2157,2.7,-22.6
Slider,78.5,2201,-10.5,-52.3
Changeup,80,1598,13.4,-33.5
Sinker,89.1,2081,12.1,-25.9
Cutter,85.8,2125,-2.5,-31
4-Seam,95.5,2310,-12.1,-10.3
Slider,80.3,2268,2.1,-43
Sinker,94.4,2247,-16.1,-14.1
Splitter,85.4,1604,-14.3,-26.7
4-Seam,87.5,1989,-9.9,-23.3
Changeup,79.5,1640,-12.7,-36.6
Curveball,70.9,2060,8.5,-69.5
Sinker,87.5,1974,-13.8,-24.9
Cutter,83.3,2096,2.6,-33.5
4-Seam,91.7,2288,-10.6,-17.3
Slider,81.6,2249,1.5,-37
Changeup,82.9,1518,-13.6,-28.6
Curveball,72.1,2538,8.7,-58.1
Sinker,90.3,2072,-16.6,-23.4
Slider,79.2,2164,-4.8,-47.1
Changeup,83.3,2004,16.6,-28.4
Curveball,73.8,2113,-8.9,-58.1
Sinker,91.9,2245,12.8,-15
Cutter,85.8,2191,-0.6,-31.4
4-Seam,89.1,2192,0.1,-20.4
Slider,80.4,2088,-10.9,-38.1
Changeup,82.5,1957,9.8,-27.3
Sinker,89.6,2018,13.2,-20.1
4-Seam,93.6,2324,-8.8,-13.9
Slider,87.5,2278,5.6,-33.5
Changeup,86.4,2017,-12.8,-24.8
Curveball,83.3,2432,6.5,-47.6
Sinker,93.8,2173,-15,-21.5
4-Seam,90.9,2177,6.2,-13.9
Slider,84.8,2217,-2.7,-33.8
Changeup,83.1,1933,14.6,-26.3
Curveball,77.5,2444,-4.6,-54.7
Sinker,90.9,2095,13.3,-16.5
4-Seam,90.1,2253,-4.1,-27.1
Slider,81.6,2486,7,-45.7
Changeup,85.6,1837,-15.5,-35.3
Curveball,79.1,2583,10.3,-55.4
Sinker,91.2,2069,-13.9,-27.9
Cutter,89.8,2246,-0.1,-26.6
4-Seam,88.9,2240,-11.1,-18.9
Slider,81.7,2207,3.1,-34.9
Curveball,71.5,2271,10.9,-59.2
Sinker,88.1,2024,-16.4,-25
Cutter,86.1,2212,-2.4,-25.2
Splitter,83.6,1541,-13.6,-34.9
4-Seam,90.7,2105,-15,-16.7
Slider,86.1,2368,-3.4,-23
Changeup,81,1791,-13.5,-29.9
Curveball,77.2,2968,7.2,-61.2
Sinker,90.6,2067,-17.8,-20.4
Cutter,85.7,2391,-1.7,-28.1
4-Seam,91.1,2416,2.8,-20
Slider,82.5,2807,-11.4,-46
Changeup,82.8,2019,12.2,-33.1
Curveball,76.1,2805,-12.7,-60.2
Sinker,91.1,2271,10.4,-26.5
Cutter,91.4,2435,-2.7,-20.3
4-Seam,92.3,1962,-3.5,-18.2
Slider,86.2,2077,3.1,-31.3
Changeup,86.6,1521,-10.4,-31.9
Curveball,75.6,2232,10,-52.1
Sinker,91.6,1861,-12.9,-22.1
Cutter,86.6,1974,2.6,-30
4-Seam,94,2246,-9.3,-13
Changeup,87,1739,-13.9,-26.4
Curveball,77.6,2513,7.6,-62.8
Sinker,93.8,2206,-14.7,-16.8
Cutter,89.6,2480,1.2,-22.1
4-Seam,94.2,2316,-11.4,-14.3
Slider,89.8,2405,4.1,-27.8
Changeup,89.3,2068,-17.2,-26.8
Curveball,81.1,2754,8.1,-55.9
Sinker,94.5,2302,-15.6,-16.1
4-Seam,94.4,2333,-13.5,-15.4
Changeup,85.2,1280,-13.9,-34.2
Curveball,81,2631,7,-50
Sinker,94.2,2299,-17.6,-19.1
4-Seam,94.8,2303,-9.7,-13.5
Changeup,87,1789,-14.8,-29.1
Curveball,78.6,2177,9.7,-50.7
Sinker,94.4,2242,-14.7,-17.9
Cutter,87.7,2031,-1,-26.1
4-Seam,91.1,2141,-7.7,-17
Changeup,82.7,1620,-12.2,-31
Curveball,73.3,2545,13.8,-64.2
Sinker,91.1,2149,-11.7,-17.7
Cutter,87.4,2359,4.1,-27.7
4-Seam,93.2,2381,-6,-14.2
Slider,88.9,2465,3.7,-28
Changeup,85.6,1743,-12.7,-28.8
Curveball,83.3,2395,15.6,-40.6
Sinker,93.5,2166,-13.8,-18.3
4-Seam,91.4,2131,-9.7,-14.3
Slider,83.7,2165,6.4,-30.8
Curveball,76.3,2540,10.4,-53.2
Sinker,90.8,2016,-14.8,-18.3
Cutter,90.2,2339,2.4,-19.8
Splitter,84.7,1440,-11.7,-29.4
4-Seam,82.3,1810,-14.6,-30.9
4-Seam,92.8,2240,10.8,-14.3
Changeup,84.5,1666,14.4,-31.4
Curveball,78.7,2822,-10.8,-58.5
Sinker,92.4,2167,16.3,-19.7
4-Seam,92.6,2216,-9.2,-12.4
Slider,85.6,2186,2.3,-31.3
Changeup,84.3,1695,-14.9,-29.8
Curveball,81.3,1945,3.4,-40.6
Sinker,92.2,2111,-15,-18.9
4-Seam,95.3,2268,-12.7,-16
Slider,88.4,2236,-1.5,-29.8
Changeup,89,1730,-10.2,-30.8
Curveball,83.8,2380,5.9,-44
Sinker,94.9,2173,-16.3,-21.2
4-Seam,84.4,2076,1.1,-25.4
Changeup,78.7,1624,12.3,-36.6
Curveball,71.7,2138,-8.6,-61.5
Sinker,83.5,1973,11.1,-29.6
Cutter,79.9,1907,-2.5,-35.2
4-Seam,94.8,2103,-9.1,-11.9
Changeup,87.1,1512,-13.2,-26.9
Curveball,76.4,2048,4,-56.6
Cutter,89.8,2034,-0.8,-23.3
4-Seam,97.2,2201,-12.3,-12.9
Changeup,87.9,1427,-13.2,-26.3
Curveball,84.6,2547,3.2,-49.2
Sinker,96.8,2102,-16.6,-17.4
Cutter,92.4,2200,-6.6,-20.9
4-Seam,95.7,2341,11,-14
Slider,79.4,2205,-11.1,-46.9
Changeup,86.3,2100,19.6,-29.3
Sinker,95.2,2283,17.3,-18.2
Splitter,82.1,2215,-9.3,-43.1
4-Seam,90.8,2114,6,-14.4
Slider,79.6,1822,-11,-39.4
Changeup,83.9,1950,9.7,-25.3
Sinker,89.8,2051,14.4,-19.9
Cutter,89.6,1980,0.2,-14.9
4-Seam,94,2275,-8.4,-13
Slider,87.5,1753,5.7,-35.9
Changeup,86,2107,-12.7,-22
Curveball,83.1,2166,6.4,-49.2
Sinker,94.1,2112,-14.9,-20.9
4-Seam,92.5,2224,5.1,-13.9
Slider,81.4,1917,1.6,-39.6
Changeup,76.5,1386,14.9,-38.9
Curveball,76.9,1782,-0.3,-49.5
Sinker,91.9,2203,12.8,-15.2
Cutter,87.2,2113,2.2,-25.4
4-Seam,92.6,2372,9.1,-13.5
Slider,84.8,2140,-1.9,-33.1
Changeup,85.6,1829,14.7,-24.7
Curveball,78.9,2200,-4.5,-50.2
Sinker,91.4,2143,14.5,-22.7
4-Seam,92.4,2406,-4.3,-12.6
Slider,87.4,2330,4.1,-31.6
Changeup,88.7,1742,-12.8,-29.7
Curveball,74.3,2436,8.9,-62
Sinker,91.9,2192,-12.3,-20
4-Seam,93.4,2175,-10,-13.3
Slider,87.6,2094,1.4,-28.4
Changeup,86.3,1630,-15.3,-27.9
Curveball,79.7,1854,7,-50
Sinker,92.8,1946,-15,-19.2
4-Seam,93.3,2286,-10.9,-13.9
Slider,83.6,2103,1.2,-35.8
Changeup,84,1555,-12.3,-33.8
Curveball,77,2035,2.3,-49
Sinker,93.2,2245,-16.1,-18.3
Cutter,88.6,2261,-3.4,-23.7
4-Seam,91.7,2082,-8.6,-19.7
Changeup,86.3,1678,-12.5,-31.2
Curveball,82.3,2023,5.5,-48
Sinker,91.6,1992,-14.4,-23.7
4-Seam,95.8,2188,-5.8,-11.3
Slider,88.4,1933,5.4,-35.3
Changeup,86.5,1914,-12.4,-26.5
Slider,79.4,1810,-3.5,-45.1
Changeup,83.5,1945,15.6,-29.8
Curveball,73.4,2051,-7,-57.9
Sinker,90.9,2204,12.3,-17.4
Cutter,86.6,2144,-0.4,-26.9
4-Seam,93.6,2538,-6.6,-17
Slider,87.2,2427,1.9,-35
Changeup,89.4,2242,-10.8,-24.5
Sinker,93.5,2423,-13.6,-24
Cutter,92.1,2543,0.5,-22.1
4-Seam,92.1,2497,-7.9,-13
Slider,87.1,2415,0.6,-26.4
Changeup,82.9,1688,-13.2,-28.1
Curveball,75.5,2713,12.7,-61
Sinker,91.1,2382,-15.4,-20.7
4-Seam,93.6,1935,-11.6,-15.2
Slider,84.3,1849,1.6,-30.6
Curveball,73.5,1859,6,-55
Sinker,93.9,1904,-14.7,-18.3
Splitter,81.4,781,-8.7,-39.1
4-Seam,88.6,2285,-8.7,-17.5
Slider,83.1,2083,3.1,-36.4
Changeup,83.7,1962,-12.6,-25.4
Curveball,77.3,2064,9.4,-53.2
Sinker,88.1,2131,-15.4,-21.3
4-Seam,90.9,2169,-4.3,-24.9
Slider,81.6,2295,8.8,-44
Changeup,86.1,1686,-14.6,-28
Curveball,80.3,2575,11.9,-53.6
Sinker,91.5,2081,-13.4,-25.9
Cutter,90.4,2170,-0.1,-25.5
4-Seam,92.2,2194,-8.1,-17.7
Changeup,84.3,1956,-17.4,-29.6
Curveball,78.6,2082,4.7,-51.6
Sinker,92.2,2185,-16,-22.3
Cutter,83.9,1694,2,-39.1
4-Seam,94.2,2213,-0.4,-9.9
Slider,88.6,2105,-5.3,-27.7
Changeup,88.3,2001,8.7,-15.8
Curveball,74,2270,-3.3,-66.2
Sinker,93.7,2224,5.8,-11.9
4-Seam,93.7,2361,-0.5,-15.4
Slider,86.5,2201,7.8,-35.5
Changeup,88.1,1794,-9.7,-25.2
Curveball,81.7,2605,14.5,-50.4
Sinker,93.5,2289,-10.1,-18.2
Cutter,91.6,2382,4.7,-25
4-Seam,90.9,2255,-8.4,-16.6
Slider,82.8,2178,0.3,-36.3
Changeup,82.6,1727,-14.4,-30.8
Curveball,81.5,1758,-8.6,-35.7
Sinker,87.9,2110,-16.7,-27
4-Seam,92.7,2315,5.9,-14.6
Slider,86.8,2176,-2.9,-29.8
Changeup,85.5,1616,13,-26.3
Curveball,77,2312,-10.6,-54.8
Sinker,92.9,2289,9.8,-14.9
4-Seam,93.5,2225,-8.4,-12.5
Slider,83.6,2075,6.3,-38.1
Changeup,85.8,1647,-11.5,-26.5
Curveball,79.9,2401,7.3,-51.9
Sinker,93.7,2209,-14,-15.9
Cutter,86.4,2203,3.7,-30.5
4-Seam,92.1,2266,-10.7,-15.7
Slider,81.2,1740,2,-38
Changeup,83.3,1507,-14.7,-29
Curveball,72.5,2258,8.8,-57.3
Sinker,91.1,2045,-16.5,-21.8
4-Seam,91.8,2278,-8.2,-14.6
Changeup,84.9,1736,-13.4,-27.8
Curveball,78.7,2442,7.5,-51.9
Sinker,91.4,2156,-13.6,-18.9
Cutter,86.5,2334,4.8,-30
4-Seam,91.6,2221,-13.4,-19.3
Slider,84.6,2221,3,-31.7
Changeup,81.3,1677,-13.1,-33.6
Curveball,78.2,2102,7.3,-48.5
Sinker,91.5,2216,-17.5,-23.8
4-Seam,92,2082,4.9,-14.7
Changeup,86.3,1342,10,-23.9
Curveball,80.3,2040,-5,-46.6
Sinker,92.2,2026,12.7,-16.9
4-Seam,96.3,2092,-10.1,-14.5
